名字,邮件地址,电话
金牛区龙氏日杂商店,webmaster@jc315.net,028 83336805 028 83388144
成都市金牛区鸿火太阳能电器经营部?,,028 66570761 028 68263901
成都鼎晋科贸有限公司,webmaster@sczfcg.com,028 85259063?
成都高新区艺家家用电器研发有限公司,,028 88176307 028 83230811
成华区欧烨厨卫生活电器经营部,,028 83387829 028 83387822
成都市川沼科技有限公司,chuanz@chuanz.cn,028 89518328 028 84210718
重庆光伏科技发展有限公司四川分公司,cnfair@163.com ,?028 66622392 028 66622380
四川希雅科技有限公司,cdhr1422@126.com,028 65816373 028 65816373?
金牛区中英莱特电器销售部?,info@sinodoors.com,028 83255920 028 83361748
?028 81278918 028 81278918?,sc-gl@163.com ,?028 81278918 028 81278918?
成都市金牛区白雪公主无纺布制品厂,wchaoxue@vip.sina.com,028 83078268 028 83068218
成都宏达龙头实业有限公司,sd-hr@163.com ,028 83140478 028 83140478
金牛区敏锐电器商行,,028 66478438 028 83221988?
成都睿哲商贸有限公司?,info@china-richland.com,?028 84325544 028 84325511
成都康宇医用设备工程有限公司,lwieun2008@sina.com ,028 66335801 028 66335801
成都市金牛区世创音响器材经营部,,028 65653325 028 83226516
成都佳威嘉科技有限公司,webmaster@hrm.cn,0159 82452628?
四川双流天利民橡胶有限公司,cfw@028mall.com,028 85850251 028 85859241?
成都绿景科贸发展有限公司,ljkm@ljkm.cn,028 87576922 028 87576922?
四川中邦模具有限公司,zb_mould@126.com ,028 66848866/67/68 028 84861522
成都新元汇成材料工程有限公司,,028 66166867 028 82783222?
成都市美艺亚克力有机玻璃制品厂?,,?028 87636456 028 87635456
成都乐天塑料有限公司,net@cheminfo.gov.cn,?028 85182892 028 85161483?
成都市成华区广成塑料造料加工组,,028 84206992 028 84201663
成都市楠昂化工有限公司,gsb@zzb.com.cn,028 82471877 028 82470417
成都市武侯区簇桥橡胶制品厂,,028 85013210 028 85014806
成都神通轮胎销售有限公司,luntai@luntaifuwu.com,028 83512829 028 68031891
四川海通化工有限责任公司,guofu@gfhg.cn,028 85915884?
重庆宏高塑料机械有限公司成都分公司,,028 84313051 028 84313251
金牛区凌辉滤网经销部,serv@tjkx.com,?028 87680158 028 87692879?
成都维博机械有限公司 ,pxjh@sohu.com,028 83072131 028 8724092
四川省论道经贸有限责任公司,lundao2007@126.com,028 87337444 028 87337444
成都博研物资贸易有限公司,xuguang@xuguang.com ,?028 87691436 028 87630056?
双流县全良木制品厂?,Huanglover@163.Com,028 85633470 028 85913301
金牛区天力士橡胶制品经营部?,,028 87682861 028 66646593
成都航天万欣科技有限公司?,fu1122@yeah.net ,?028 84805505 028 84807982?
成都作品集汽车配件有限公司,postmaster@ctpi.cn,028 83511070 028 82826680
四川锦城建筑机械有限责任公司,jc@scjcjj.com,028 87514548 028 87507248
四川港宏车辆贸易有限公司,webmaster@sczfcg.com,028 87630032 028 87618844?
四川建设机械(集团)股份有限公司,scjsjx@163.com ,028 86472036 028 83111429
四川鑫荣创输送机械有限公司,,028 80919909 028 85368801
成都红光机械制造有限公司,zhaoran43@yahoo.com.cn,?028 83961318 028 83965165
成都市成华区金格尔电动车服务行?,,028 66355955 028 66355955
四川省信广科技有限责任公司,service_2008@chinamet.com ,028 85564386 028 85564586
成都虎跃机电设备有限公司?,,028 87701098 028 87654099
成都陵川常友汽车部件制造有限公司,,?028 84639031 028 84639031
成都市金牛区昭艺玻璃钢厂,cdboligang@163.com,028 87510444 028 87510444
成都盛名科技有限公司,coroo@coroo.net,?028 85544886 028 85544886
成都市中州起重机械有限公司,13688153946@vip.sina.com ,028 83584548 028 83584549
四川至信科技有限公司?,sczxkj@alibaba.com.cn ,?028 87700212 028 87682577
四川科泰智能电子有限公司,ket@cortoi.com,028 85452903-8038 028 85452903-8001?
成都西线越野汽车租赁有限公司,bianjie98@163.com,028 85050113 028 85056325
成都市奥思特边坡防护有限责任公司?,ostzhaopin@126.com,028 86916685 028 86916581
四川新安达交通设施有限公司,CQjob@163.com,028 83603001 028 83603001?
成都齐荣达物资有限公司,13688153946@vip.sina.com,028 66625957/87632500 028 87632500
成都市心齐货物运输有限公司,Kqchendu@mail.sc.cninfo.net,028 89917381 028 66124097
四川强力建筑机械有限公司,lmxz@molss.gov,?028 87765996 028 87769616
成都古龙旅游产品开发有限公司,rzdzw@163.com,028 66837383 028 87701269
四川佩克展示制作工程有限公司,xuping498@163.com,028 85365536 028 85365440
蜀韵乌木,wenhuizhai@163.com,028 80633806?
上虞市百官鑫泰工艺品厂?,xt.88888@163.com,?028 87334788 028 87766891?
成都市青羊区吉绣工艺品加工坊,webmaster@sinoef.com,028 87310058/88052840 028 87310058
成都大维科技发展有限公司,cddw@vip.sina.com,?028 86634148 028 86648667?
成都市金牛区力达利钟表配件厂?,scleader@163.com,028 87503975 028 87503975
成都圣地雅客食品有限公司,food800@126.com,028 80917809 028 85765311
成都典雅科技有限公司,793189956@qq.com ,028 66427928 028 66042466-88
成都市金万茂瓷业有限公司,,0833 5839888 0833 5839888
成都万年青环境艺术有限公司,snbbc@snbbc.com ,028 88872848 028 82678488?
成都市金牛区恒隆地拖厂,,?028 81868068 028 83576095
成都市新都区金都沙发厂,,?028 83944883 028 83944883
新都区斑竹园镇屹恺木制品厂,junc@263.net,028 85450348-606 028 85459536?
成都美鱼王水族工艺厂,,028 85801679 028 85801679?
成都市双流九环龙家具厂,,028 85790015 028 85790015
锦江区特莱威家私厂?,,028 85911263 028 85918266
成都市武侯区鼎丰家具厂,cddfjj@yaho.cn ,028 85200026 028 85200026
成都正妆化妆品有限公司,sjw028@yahoo.cn,028 83187138 028 83357058
成都君正厨房设备有限责任公司,cdjz8@163.com,028 87075502 028 87075501?
成都顺发消洗科技有限公司?,cdshunfa@163.com,028 85911572 028 84529018
成都赛维芦荟制品有限公司?,it114@mx.cei.gov.cn,028 86715521 028 85190904
成都市武候区新洁雅电子电器加工厂,jieya@126.com,"028 81933907,87022869,13881756285 028 66751919-1088"
成都瑶蒸堂科技有限公司,cgqkj@163.com,?028 66899755 028 66899756
成都前宏通讯有限责任公司,wu@163.com ,028 83080766 028 83083068
成都星宇节能技术股份有限公司,labview@vihome.com.cn,028 85171589 028 85186222
四川普雷塞林科技发展有限公司,,?028 86032503 028 86032503
成都市青羊区立新通讯器材经营部,yinxiangyinxiang@sina.com,028 88176466 028 86629573
成都绿源电子有限公司,fubao@f139.com ,028 84638758 028 84638796
成都市瑞发通讯器材有限公司?,office@cdruifa.com,028 87075933 028 87071138
成都市武侯区蓝博电子经营部,,028 66860897 028 85435479
四川盟宝实业有限公司,info@cdqy.com,028 87773888 028 87773888
成都杉杉通讯设备有限公司,,028 86780588 028 86620855?
四川爱维奇科技有限公司,newliner0708@163.com,028 86154930
四川丰创科贸有限公司?,baihyxa@hotmail.com ,?028 84345898 028 66751946?
成都从众科技有限责任公司,winhorse@126.com,028 85108266 028 85108266-608?
四川通全信息科技有限公司,xnvavaa@126.com ,028 86653732 028 86653732
成都市金牛区金华小家电商店?,,028 82902715 028 82902715?
成都市深成微电子工贸部,,028 66152749 028 66152749?
成都亿成电气自动化设备有限公司?,power@poweritem.cn,028 87773537-806 028 87767770
成都天坤电池有限公司   ,fu1122@yeah.net,?028 66918090 028 85222401?
成都市众程科技有限公司,sjw028@yahoo.cn ,028 85580428 028 85574212
成都联普信息科技有限公司,webmaster@315safe.com ,028 66806811 028 66806877
成都市佳顺源科技有限责任公司,zhukeru@bx98.com,0871 8091608 0871 8091608
成都科美华科技发展有限公司,,028 84337803 028 84339523
成都高新区精心电子厂,tony168cn@gmail.com ,028 85251965 028 85251965
成都金冠同利系统集成有限公司?,,028 82807789 028 82807801
成都拓宇电气控制工程有限公司,,028 87462055//87467298 028 87467298
成都科宏达实业发展有限公司?,Info@pencity.com.cn,"028 87079083,87079087,87079081 028 87079085"
成都步高机电设备有限公司,web@zx185.com,?028 86418972 028 68146401?
成都其昌节水器具研究所,web@ldmet.com,?028 88297406 028 88283550?
四川金翔环保科技有限公司,11223344@qq.com,?028 83150133 028 83150133
成都市华强三洋电器科技有限责任公司?,yongan55@foxmail.com ,?028 68065344/83235462 028 83235462
龙泉驿区龙泉街办伊海五金机械经营部,Server@cmt365.com ,028 84804183 028 84804183
成都亿博达科技有限公司技术分公司?,,"028 66803740,66804712,68126632 028 86915879"
成都金建源节能有限公司,,028 86864288 028 85361156
成都鑫立新电器成套设备厂,scwq@jicha.com.cn,028 83949513 028 83949513 
